,R_INH,S_INH,R_EMB,S_EMB,R_RIF,S_RIF,R_PZA,S_PZA,R_Multi,S_Multi
105,ERR2515099,ERR2514247,ERR2514159,ERR2513256,ERR2513950,ERR2514583,ERR2512495,ERR2513668,ERR2510674,ERR2513580
106,ERR2512691,ERR2514992,ERR2514005,ERR2514035,ERR2514760,ERR2512447,ERR2513428,ERR2512447,ERR2510676,ERR2513859
107,ERR2514994,ERR2512742,ERR2513987,ERR2513135,ERR2514503,ERR2512962,ERR2512838,ERR2513164,ERR2510695,ERR2514839
108,ERR2514983,ERR2514647,ERR2512419,ERR2513344,ERR2513994,ERR2513164,ERR2514191,ERR2513648,ERR2510678,ERR2514538
109,ERR2513441,ERR2514416,ERR2512591,ERR2512684,ERR2041698,ERR2513648,ERR2512931,ERR2515038,ERR2510715,ERR2513978
110,ERR2515094,ERR2514374,ERR2513819,ERR2513320,ERR2041709,ERR2515038,ERR2513138,ERR2515066,ERR2510845,ERR2513921
111,ERR2514729,ERR2513553,ERR2513027,ERR2514104,ERR2041712,ERR2515066,ERR2513126,ERR2513256,ERR2510329,ERR2513725
112,ERR2515072,ERR2513433,ERR2512718,ERR2514775,ERR2199914,ERR2513256,ERR2514240,ERR2514035,ERR2510848,ERR2514603
113,ERR2512878,ERR2513580,ERR2513835,ERR2514782,ERR2041717,ERR2514035,ERR2512882,ERR2513135,ERR2510844,ERR2513323
114,ERR2512888,ERR2513859,ERR2514867,ERR2512430,ERR2041718,ERR2513135,ERR2514887,ERR2513344,ERR2510690,ERR2514380
115,ERR2514909,ERR2514839,ERR2513770,ERR2513798,ERR2041720,ERR2513344,ERR2515042,ERR2512684,ERR2510702,ERR2199788
116,ERR2512600,ERR2514538,ERR2510189,ERR2514791,ERR2041721,ERR2512684,ERR2514422,ERR2513320,ERR2510703,ERR2199789
117,ERR2514632,ERR2513978,ERR2510169,ERR2515100,ERR2041723,ERR2513320,ERR2513656,ERR2514104,ERR2510846,ERR2199792
118,ERR2513099,ERR2513921,ERR2510138,ERR2514247,ERR2041727,ERR2514104,ERR2513221,ERR2514775,ERR2510852,ERR2199794
119,ERR2514155,ERR2513725,ERR2510233,ERR2514992,ERR2041730,ERR2514775,ERR2512467,ERR2514782,ERR2510853,ERR2199796
120,ERR2512440,ERR2514603,ERR2510211,ERR2512742,ERR2041731,ERR2514782,ERR2514395,ERR2512430,ERR2510709,ERR2199797
121,ERR2513898,ERR2513776,ERR2510242,ERR2514647,ERR2041733,ERR2512430,ERR2512975,ERR2513798,ERR2510723,ERR2199798
122,ERR2512595,ERR2513323,ERR2510182,ERR2514416,ERR2041734,ERR2513798,ERR2513831,ERR2514791,ERR2510682,ERR2199800
123,ERR2513219,ERR2514380,ERR2510212,ERR2514374,ERR2041735,ERR2514791,ERR2514633,ERR2515100,ERR2510862,ERR2199801
124,ERR2513122,ERR2199787,ERR2510129,ERR2513553,ERR2041736,ERR2515100,ERR2514487,ERR2514247,ERR2510863,ERR2199806
125,ERR2513047,ERR2199788,ERR2510226,ERR2513433,ERR2041739,ERR2514247,ERR2514087,ERR2514992,ERR2510864,ERR2512747
126,ERR2513267,ERR2199789,ERR2510185,ERR2513580,ERR2200070,ERR2514992,ERR2514451,ERR2512742,ERR2510867,ERR2512816
127,ERR2514244,ERR2199792,ERR2510191,ERR2513859,ERR2041743,ERR2512742,ERR2512954,ERR2514647,ERR2510851,ERR2514506
128,ERR2513998,ERR2199794,ERR2510175,ERR2514839,ERR2041746,ERR2514647,ERR2513302,ERR2514416,ERR2510872,ERR2512515
129,ERR2514945,ERR2199796,ERR2510228,ERR2514538,ERR2041747,ERR2514416,ERR2512570,ERR2514374,ERR2510878,ERR2513293
130,ERR2514267,ERR2199797,ERR2510181,ERR2513978,ERR2041748,ERR2514374,ERR2514837,ERR2513553,ERR2510686,ERR2515092
131,ERR2512596,ERR2199798,ERR2510174,ERR2513921,ERR2041749,ERR2513553,ERR2512732,ERR2513580,ERR2510666,ERR2515057
132,ERR2514156,ERR2199800,ERR2510199,ERR2513725,ERR2041750,ERR2513433,ERR2514352,ERR2513859,ERR2510669,ERR2513944
133,ERR2513295,ERR2199801,ERR2510235,ERR2514603,ERR2041752,ERR2513580,ERR2513994,ERR2514839,ERR2510730,ERR2513206
134,ERR2516313,ERR2199806,ERR2510132,ERR2513776,ERR2041753,ERR2513859,ERR2514832,ERR2514538,ERR2510734,ERR2513963
135,ERR1768629,ERR2512747,ERR2510218,ERR2513323,ERR2041754,ERR2514839,ERR2512549,ERR2513978,ERR2510850,ERR2514110
136,ERR2516281,ERR2512816,ERR2510133,ERR2514380,ERR2041755,ERR2514538,ERR2041698,ERR2513921,ERR2510735,ERR2514466
137,ERR2516308,ERR2514506,ERR2510215,ERR2199787,ERR2200092,ERR2513978,ERR2041709,ERR2513725,ERR2510704,ERR2513867
138,ERR2516345,ERR2512515,ERR2510146,ERR2199788,ERR2041756,ERR2513921,ERR2041712,ERR2514603,ERR2510707,ERR2514510
139,ERR2516245,ERR2513293,ERR2510188,ERR2199789,ERR2041757,ERR2513725,ERR2199914,ERR2513323,ERR2510660,ERR2513552
140,ERR2516336,ERR2515092,ERR2510224,ERR2199792,ERR2041759,ERR2514603,ERR2041717,ERR2514380,ERR2510459,ERR2513373
141,ERR2516351,ERR2515057,ERR2510194,ERR2199794,ERR2200093,ERR2513776,ERR2041720,ERR2041684,ERR2510663,ERR2513697
142,ERR2516203,ERR2513944,ERR2510184,ERR2199795,ERR2041760,ERR2513323,ERR2041721,ERR2199788,ERR2510668,ERR2514452
143,ERR2516239,ERR2513206,ERR2510154,ERR2199796,ERR2041761,ERR2514380,ERR2041727,ERR2199789,ERR2510710,ERR2512988
144,ERR2516213,ERR2513963,ERR2510167,ERR2199797,ERR2041762,ERR2199787,ERR2041728,ERR2041685,ERR2510670,ERR2514453
145,ERR2516264,ERR2514110,ERR2510214,ERR2199798,ERR2041763,ERR2199788,ERR2041732,ERR2199792,ERR2510671,ERR2513463
146,ERR2516290,ERR2514466,ERR2510164,ERR2199800,ERR2041764,ERR2199789,ERR2041734,ERR2199794,ERR2510673,ERR2513326
147,ERR2516178,ERR2513867,ERR2510150,ERR2199801,ERR2041766,ERR2199792,ERR2200070,ERR2199795,ERR2510882,ERR2512925
148,ERR2516230,ERR2514510,ERR2510168,ERR2199804,ERR2041768,ERR2199794,ERR2200072,ERR2199796,ERR2510711,ERR2512772
149,ERR2516316,ERR2513552,ERR2510172,ERR2199806,ERR2041769,ERR2199795,ERR2041742,ERR2199797,ERR2510713,ERR2513816
150,ERR2516340,ERR2513373,ERR2510234,ERR2512747,ERR2041774,ERR2199796,ERR2041744,ERR2199798,ERR2510714,ERR2514903
151,ERR2516338,ERR2513697,ERR2510136,ERR2512816,ERR2041775,ERR2199797,ERR2041746,ERR2199799,ERR2510716,ERR2513962
152,ERR2516288,ERR2514452,ERR2510153,ERR2514506,ERR2041777,ERR2199798,ERR2041748,ERR2199800,ERR2510717,ERR2513719
153,ERR2513608,ERR2512988,ERR2510201,ERR2512515,ERR2041780,ERR2199800,ERR2041749,ERR2199801,ERR2510719,ERR2514932
154,ERR2513218,ERR2514453,ERR2510135,ERR2514188,ERR2041781,ERR2199801,ERR2041750,ERR2199804,ERR2510254,ERR2513186
155,ERR2514564,ERR2513463,ERR2510141,ERR2513293,ERR2041782,ERR2199804,ERR2041754,ERR2199806,ERR2510279,ERR2513760
156,ERR2514094,ERR2513326,ERR2510238,ERR2515092,ERR2041783,ERR2199806,ERR2041757,ERR2516303,ERR2510685,ERR2515049
157,ERR2515098,ERR2512925,ERR2510145,ERR2515057,ERR2041784,ERR2516303,ERR2041759,ERR2516198,ERR2510510,ERR2513698
158,ERR2513752,ERR2512772,ERR2510195,ERR2513944,ERR2041785,ERR2516301,ERR2041760,ERR2516301,ERR2510726,ERR2514890
159,ERR2513460,ERR2513816,ERR2510128,ERR2513206,ERR2041786,ERR2516254,ERR2041762,ERR2512747,ERR2510689,ERR2512654
160,ERR2513807,ERR2514903,ERR2510170,ERR2513963,ERR2041787,ERR2516289,ERR2041763,ERR2512816,ERR2510733,ERR2513341
161,ERR2512730,ERR2513962,ERR2510231,ERR2514110,ERR1768638,ERR2512747,ERR2041764,ERR2514506,ERR2510692,ERR2514225
162,ERR2513564,ERR2513719,ERR2510190,ERR2514466,ERR2041789,ERR2512816,ERR2041765,ERR2512515,ERR2510360,ERR2513586
163,ERR2515024,ERR2514932,ERR2510159,ERR2513867,ERR2041795,ERR2514506,ERR2041772,ERR2514188,ERR2510729,ERR2514620
164,ERR2512930,ERR2513186,ERR2510225,ERR2514510,ERR2041796,ERR2512515,ERR2041774,ERR2513293,ERR2510654,ERR2514309
165,ERR2512582,ERR2513760,ERR2510217,ERR2513552,ERR2041803,ERR2514188,ERR2041775,ERR2515092,ERR2515247,ERR2514975
166,ERR2514982,ERR2515049,ERR2510196,ERR2513373,ERR2515242,ERR2513293,ERR2041777,ERR2515057,ERR2515777,ERR2514921
167,ERR2514800,ERR2513698,ERR2510219,ERR2513697,ERR2515474,ERR2515092,ERR2041780,ERR2513944,ERR2515982,ERR2514828
168,ERR2514123,ERR2514890,ERR2510140,ERR2514452,ERR2515465,ERR2515057,ERR2041782,ERR2513206,ERR2515131,ERR2514180
169,ERR2514295,ERR2512654,ERR2510187,ERR2512988,ERR2516047,ERR2513944,ERR2041783,ERR2513963,ERR2515643,ERR2513993
170,ERR2514159,ERR2513341,ERR2510160,ERR2514453,ERR2516101,ERR2513206,ERR2041784,ERR2514110,ERR2515342,ERR2514229
171,ERR2514005,ERR2514225,ERR2510221,ERR2513463,ERR2515265,ERR2513963,ERR2041785,ERR2514466,ERR2515542,ERR2513096
172,ERR2514008,ERR2513586,ERR2510232,ERR2513326,ERR2515293,ERR2514110,ERR2041786,ERR2513867,ERR2515948,ERR2514236
173,ERR2513987,ERR2514620,ERR2510165,ERR2512925,ERR2515740,ERR2514466,ERR2041787,ERR2514510,ERR2516025,ERR2513422
174,ERR2513145,ERR2514309,ERR2510148,ERR2512772,ERR2515353,ERR2513867,ERR2041788,ERR2513552,ERR2515995,ERR2513893
175,ERR2512870,ERR2514975,ERR2516196,ERR2513816,ERR2515622,ERR2514510,ERR1768638,ERR2513373,ERR2515684,ERR2513022
176,ERR2512419,ERR2514921,ERR2516243,ERR2514903,ERR2515487,ERR2513552,ERR2041789,ERR2513697,ERR2515228,ERR2513513
177,ERR2512591,ERR2514828,ERR2516188,ERR2513962,ERR2515945,ERR2513373,ERR2041796,ERR2514452,ERR2515112,ERR2514746
178,ERR2514747,ERR2514180,ERR2516199,ERR2514963,ERR2515245,ERR2513697,ERR2200148,ERR2512988,ERR2515567,ERR2514936
179,ERR2512824,ERR2514144,ERR2516220,ERR2513719,ERR2515264,ERR2514452,ERR2515957,ERR2514453,ERR2515252,ERR2513457
180,ERR2512802,ERR2513993,ERR2516214,ERR2514932,ERR2515426,ERR2512988,ERR2515662,ERR2513463,ERR2515488,ERR2514066
181,ERR2513000,ERR2514229,ERR2513408,ERR2513186,ERR2515370,ERR2514453,ERR2516043,ERR2513326,ERR2515390,ERR2512435
182,ERR2514764,ERR2513096,ERR2512700,ERR2513760,ERR2515400,ERR2513463,ERR2516027,ERR2512925,ERR2516031,ERR2514600
183,ERR2513819,ERR2514236,ERR2513852,ERR2515049,ERR2515262,ERR2513326,ERR2515474,ERR2512772,ERR2516069,ERR2513074
184,ERR2513783,ERR2513422,ERR2513631,ERR2513698,ERR2516138,ERR2512925,ERR2515465,ERR2513816,ERR2515682,ERR2514208
185,ERR2513027,ERR2513893,ERR2514550,ERR2514890,ERR2516136,ERR2512772,ERR2516070,ERR2514903,ERR2515997,ERR2514520
186,ERR2513957,ERR2513022,ERR2513126,ERR2512654,ERR2516161,ERR2513816,ERR2515713,ERR2513962,ERR2515486,ERR2513677
187,ERR2512752,ERR2513513,ERR2514757,ERR2513341,ERR2516151,ERR2514903,ERR2516047,ERR2514963,ERR2515310,ERR2513651
